"id","userId","searchDate","networkCount","reason"
"0d92fbd7-fd8d-4c39-b2d6-3e3edf20b52a","***","2026-07-23T04:14:35.654Z","482",""
"09f997d4-2340-4c21-b1c4-c357e75b5709","***","2026-07-23T13:13:16.976Z","6064",""
"a102105d-ae45-4b29-9b1b-7911351a454b","***","2026-07-23T13:57:18.795Z","482",""
"3a38d4ff-34a6-404d-9fca-b68783fa6f68","***","2026-07-23T14:00:33.597Z","482",""
"288fc547-08cf-40bc-b19a-88a00b4c3ebe","***","2026-07-23T15:01:00.547Z","2","burg to vehicle"
"bfc2e2b4-b257-45e1-baa6-1ba5a404c377","***","2026-07-23T17:35:17.247Z","2",""
"d5f80c60-cec8-4607-9ee5-640993b73d5f","***","2026-07-23T17:57:27.224Z","2",""
"52d92d98-e050-4d1a-b044-54c9f4872c24","***","2026-07-23T18:00:16.954Z","482",""
"4dea6e8e-0ba5-48f6-a916-64ea82dc9426","***","2026-07-23T19:29:17.028Z","482",""
"4f7d0849-0bcf-44af-b00c-21659a06ea77","***","2026-07-23T19:34:50.069Z","2","drugs"
"d5b38378-54a5-46cc-ae12-e7d675054e5e","***","2026-07-23T20:04:20.632Z","2",""
"8eb7a35a-2376-4f18-86d7-cf98a71daa56","***","2026-07-23T20:48:48.726Z","482",""
"d114d2d8-e1e6-4172-81f9-7960666a85c9","***","2026-07-23T21:56:01.136Z","482",""
"bc435cc4-12f0-45fb-83e6-4e7beff10263","***","2026-07-23T21:56:02.393Z","2",""
"5b37287b-bd8b-4eb5-87e0-c3afbab374a3","***","2026-07-24T05:07:57.039Z","470",""
"3f5d71dd-9223-440e-8f3e-96c3e48b45bf","***","2026-07-24T05:40:38.278Z","470",""
"beb2fb8c-5392-4680-92c8-f1b11406c3e2","***","2026-07-24T07:00:42.098Z","470",""
"63232810-0520-426d-b64a-53e2432a7258","***","2026-07-24T09:50:42.462Z","470",""
"4397acce-3ca8-4658-ac63-ae9726f2a5df","***","2026-07-24T12:15:49.961Z","470","26-006963"
"f07669d0-99ba-4582-abf5-50aff9887288","***","2026-07-24T12:21:53.296Z","2","warrant"
"95612e69-9a67-4719-971c-cf03571294eb","***","2026-07-24T13:00:29.791Z","2",""
"bee9f870-3ede-4de8-beb8-21c639f27134","***","2026-07-24T13:14:58.508Z","470",""
"e81e9b98-830d-49f3-bc8a-5e4afed59a88","***","2026-07-24T13:15:03.908Z","482",""
"d4cd323f-bd96-47f1-8843-00f0f03c4904","***","2026-07-24T14:08:25.491Z","482",""
"b2c2d51e-b1ea-498b-a2e0-b25802bdd156","***","2026-07-24T14:34:37.145Z","2","26-007282"
"34218f13-0717-4cdd-84a1-fd1e694bc1fb","***","2026-07-24T15:11:09.732Z","2","warrant"
"b7543a6f-9e0a-47d3-87de-7a6bf5184440","***","2026-07-24T15:31:24.594Z","482","suspect vehicle"
